a. Contributor unique ID,b. Preferred name,FIRST NAME,LAST NAME,c. Variant name,ccc. Source of Name,c1. Variant name 2,cc1. Language of name,ccc1. Source of name 2,d. Nationality,e. Birth date,e. Birth date,f. Death date,f. Death date,g. Role,g1. Role,h. Display Biography,i. Sex,j. Source,j1. Source,jj1. Source,j3. Source 2,jj2. Source 2 “page”,k. Contributor,o. Culture,p. Related Person Name (SPOUSE),p1. Related Person Name (MOTHER),p2. Related Person Name (FATHER)
,"LASTNAME,FIRSTNAME",,,FULL NAME,,,,,,,YEAR,,YEAR,,,"FORMAT (Nationality, role, birth date-hyphen-death date)",GENDER,,,,,Wikidata QID (format http://www.wikidata.org/entity/Q113388358),,,,,
OAINDOD30,"Barik,Subrat Kumar",Subrat Kumar,Barik,Subrat Kumar Barik,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବାରିକ,ସୁବ୍ରତ କୁମାର",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388472,O Foundation,Odia people,,,
OAINDOD31,"Barik,Sudeep ",Sudeep ,Barik,Sudeep Barik,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବାରିକ,ସୁଦୀପ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388484,O Foundation,Odia people,,,
OAINDOD32,"Basantia,Bipin Kumar",Bipin Kumar,Basantia,Bipin Kumar Basantia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବସନ୍ତିଆ,ବିପିନ କୁମାର",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387836,O Foundation,Odia people,,,
OAINDOD33,"Basu,Asim ",Asim ,Basu,Asim Basu,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବସୁୁ,ଅସୀମ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,1935-11-30,1935,2017-02-01,2017,painter,,"Indian contemporary painter, 1935-2017",male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q19663402,O Foundation,Odia people,,,
OAINDOD34,"Basu,Atasi ",Atasi ,Basu,Atasi Basu,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବାସୁ,ଅତସୀ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,female,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387788,O Foundation,Odia people,,,
OAINDOD35,"Basu,Bhaswati ",Bhaswati ,Basu,Bhaswati Basu,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବସୁ,ଭାସ୍ବତୀ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,1973-03-05,1973,,,artist,,"Indian artist, born 1973",female,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q55409221,O Foundation,Odia people,,,Asim Basu
OAINDOD36,"Begum,Sahin Suhana",Sahin Suhana,Begum,Sahin Suhana Begum,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବେଗମ,ସାହିନ ସୁହାନା",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,female,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388333,O Foundation,Odia Muslim,,,
OAINDOD37,"Behera,Adaita ",Adaita ,Behera,Adaita Behera,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବେହେରା,ଅଦୈତ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,graphic artist,,Indian contemporary graphic artist,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387728,O Foundation,Odia people,,,
OAINDOD38,"Behera,Adwaita Prasad",Adwaita Prasad,Behera,Adwaita Prasad Behera,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବେହେରା,ଅଦ୍ୱେତ ପ୍ରସାଦ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387733,O Foundation,Odia people,,,
OAINDOD39,"Behera,Ajit ",Ajit ,Behera,Ajit Behera,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବେହେରା,ଅଜିତ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387740,O Foundation,Odia people,,,
OAINDOD40,"Behera,Alekh Chandra",Alekh Chandra,Behera,Alekh Chandra Behera,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବେହେରା,ଅଲେଖ ଚନ୍ଦ୍ର",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387750,O Foundation,Odia people,,,
OAINDOD41,"Behera,Binodini ",Binodini ,Behera,Binodini Behera,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବେହେରା,ବିନୋଦିନୀ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,graphic artist,,Indian contemporary graphic artist,female,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387835,O Foundation,Odia people,,,
OAINDOD42,"Behera,Chakradhar ",Chakradhar ,Behera,Chakradhar Behera,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବେହେରା,ଚକ୍ରଧର",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387858,O Foundation,Odia people,,,
OAINDOD43,"Behera,Daitari ",Daitari ,Behera,Daitari Behera,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବେହେରା,ଦୈତାରୀ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387881,O Foundation,Odia people,,,
OAINDOD44,"Behera,Gopinath ",Gopinath ,Behera,Gopinath Behera,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବେହେରା,ଗୋପୀନାଥ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387942,O Foundation,Odia people,,,
OAINDOD45,"Behera,Harapriya ",Harapriya ,Behera,Harapriya Behera,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବେହେରା,ହରପ୍ରିୟା",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,female,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387953,O Foundation,Odia people,,,
OAINDOD46,"Behera,Harihara ",Harihara ,Behera,Harihara Behera,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବେହେରା,ହରିହର",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,sculptor,,Indian contemporary sculptor,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387954,O Foundation,Odia people,,,
OAINDOD47,"Behera,Jayaram ",Jayaram ,Behera,Jayaram Behera,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବେହେରା,ଜୟରାମ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387985,O Foundation,Odia people,,,
OAINDOD48,"Behera,Kalandi ",Kalandi ,Behera,Kalandi Behera,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବେହେରା,କାଳନ୍ଦୀ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388003,O Foundation,Odia people,,,
OAINDOD49,"Behera,Laxmidhar ",Laxmidhar ,Behera,Laxmidhar Behera,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବେହେରା,ଲକ୍ଷ୍ମୀଧର",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388034,O Foundation,Odia people,,,
OAINDOD50,"Behera,Madhusudhan ",Madhusudhan ,Behera,Madhusudhan Behera,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବେହେରା,ମଧୁସୁଦନ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,sculptor,,Indian contemporary sculptor,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388054,O Foundation,Odia people,,,
OAINDOD51,"Behera,Narayan ",Narayan ,Behera,Narayan Behera,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବେହେରା,ନାରାୟଣ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388124,O Foundation,Odia people,,,
